,sitecode,nodename,model,loopback_id,router_id,menagement_ip,node_type,region,vendor
3041,NMBRM,RAC_NMBRM21C,CISCO_ASR920CC,,,10.122.17.54,RAC,BKK,Cisco
3042,KGDNM,RAC_KGDNM21C,CISCO_ASR920CC,,,10.122.65.166,RAC,BKK,Cisco
3043,HPR2P,RAC_HPR2P21C,CISCO_ASR920CC,,,10.122.42.203,RAC,BKK,Cisco
3044,RKHTX,RAC_RKHTX21C,CISCO_ASR920CC,,,10.122.47.166,RAC,BKK,Cisco
3045,NMI4M,RAC_NMI4M21C,CISCO_ASR920CC,,,10.122.17.57,RAC,BKK,Cisco
3046,NSWDM,RAC_NSWDM21C,CISCO_ASR920CC,,,10.122.46.11,RAC,BKK,Cisco
3047,SCSMP,RAC_SCSMP21C,CISCO_ASR920CC,,,10.122.12.156,RAC,BKK,Cisco
3048,NTVHP,RAC_NTVHP21C,CISCO_ASR920CC,,,10.122.26.26,RAC,BKK,Cisco
3049,B1B2P,RAC_B1B2P21C,CISCO_ASR920CC,,,10.122.46.135,RAC,BKK,Cisco
3050,PV33M,RAC_PV33M21C,CISCO_ASR920CC,,,10.122.67.149,RAC,BKK,Cisco
3051,BNV1B,RAC_BNV1B21C,CISCO_ASR920CC,,,10.122.34.104,RAC,BKK,Cisco
3052,FS16M,RAC_FS16M51C,ciscoNCS540,Loopback0,10.64.3.238,10.124.210.238,RAC,BKK,Cisco
3053,LTR3P,RAC_LTR3P21C,CISCO_ASR920CC,,,10.122.8.252,RAC,BKK,Cisco
3054,DKN1M,RAC_DKN1M21C,CISCO_ASR920CC,,,10.122.30.141,RAC,BKK,Cisco
3055,CNDBM,RAC_CNDBM51C,ciscoNCS540,Loopback0,10.64.16.201,10.124.209.59,RAC,BKK,Cisco
3056,SMC8M,RAC_SMC8M21C,CISCO_ASR920CC,,,10.122.35.149,RAC,BKK,Cisco
3057,MJCPP,RAC_MJCPP21C,CISCO_ASR920CC,,,10.122.16.107,RAC,BKK,Cisco
3058,APNDM,RAC_APNDM51C,ciscoNCS540,Loopback0,10.64.7.63,10.124.214.63,RAC,BKK,Cisco
3059,RT31M,RAC_RT31M21C,CISCO_ASR920CC,,,10.125.194.212,RAC,BKK,Cisco
3060,SKW3M,RAC_SKW3M21C,CISCO_ASR920CC,,,10.122.18.200,RAC,BKK,Cisco
3061,MPP2M,RAC_MPP2M51C,ciscoNCS540,Loopback0,10.64.3.94,10.124.210.94,RAC,BKK,Cisco
3062,ASP1M,RAC_ASP1M21C,CISCO_ASR920CC,,,10.122.25.69,RAC,BKK,Cisco
3063,PHMTM,RAC_PHMTM21C,CISCO_ASR920CC,,,10.122.34.214,RAC,BKK,Cisco
3064,SWIEM,RAC_SWIEM21C,CISCO_ASR920CC,,,10.125.200.122,RAC,BKK,Cisco
3065,XYTS,RAC_XYTS01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.1.154,RAC,BKK,Cisco
3066,SCBWP,RAC_SCBWP21C,CISCO_ASR920CC,,,10.122.10.86,RAC,BKK,Cisco
3067,SU52M,RAC_SU52M21C,CISCO_ASR920CC,,,10.122.16.30,RAC,BKK,Cisco
3068,CN21M,RAC_CN21M21C,CISCO_ASR920CC,,,10.122.30.73,RAC,BKK,Cisco
3069,FBPHP,RAC_FBPHP21C,CISCO_ASR920CC,,,10.122.11.245,RAC,BKK,Cisco
3070,YWBGM,RAC_YWBGM21C,CISCO_ASR920CC,,,10.122.23.164,RAC,BKK,Cisco
3071,SQ1PP,RAC_SQ1PP21C,CISCO_ASR920CC,,,10.122.34.200,RAC,BKK,Cisco
3072,VWNCM,RAC_VWNCM21C,CISCO_ASR920CC,,,10.122.14.132,RAC,BKK,Cisco
3073,PS47M,RAC_PS47M21C,CISCO_ASR920CC,,,10.122.10.58,RAC,BKK,Cisco
3074,LL13M,RAC_LL13M21C,CISCO_ASR920CC,,,10.122.47.182,RAC,BKK,Cisco
3075,BKNHM,RAC_BKNHM21C,CISCO_ASR920CC,,,10.122.28.72,RAC,BKK,Cisco
3076,ST55M,RAC_ST55M21C,CISCO_ASR920CC,,,10.122.34.170,RAC,BKK,Cisco
3077,ASC2M,RAC_ASC2M21C,CISCO_ASR920CC,,,10.122.11.124,RAC,BKK,Cisco
3078,NKRTM,RAC_NKRTM21C,CISCO_ASR920CC,,,10.122.28.85,RAC,BKK,Cisco
3079,SKN4M,RAC_SKN4M21C,CISCO_ASR920CC,,,10.122.35.138,RAC,BKK,Cisco
3080,URB1B,RAC_URB1B21C,CISCO_ASR920CC,,,10.122.64.87,RAC,BKK,Cisco
3081,SCDYM,RAC_SCDYM51C,ciscoNCS540,Loopback0,10.64.3.231,10.124.210.231,RAC,BKK,Cisco
3082,SK33M,RAC_SK33M21C,CISCO_ASR920CC,,,10.122.20.183,RAC,BKK,Cisco
3083,CTFEP,RAC_CTFEP21C,CISCO_ASR920CC,,,10.125.194.218,RAC,BKK,Cisco
3084,ICSAP,RAC_ICSAP21C,CISCO_ASR920CC,,,10.122.44.119,RAC,BKK,Cisco
3085,S422M,RAC_S422M21C,CISCO_ASR920CC,,,10.122.13.76,RAC,BKK,Cisco
3086,SIMBM,RAC_SIMBM21C,CISCO_ASR920CC,,,10.122.34.196,RAC,BKK,Cisco
3087,SPATM,RAC_SPATM51C,ciscoNCS540,Loopback0,10.64.2.141,10.124.209.141,RAC,BKK,Cisco
3088,BAU1M,RAC_BAU1M51C,ciscoNCS540,Loopback0,10.64.4.50,10.124.211.50,RAC,BKK,Cisco
3089,UTPEM,RAC_UTPEM21C,CISCO_ASR920CC,,,10.122.9.10,RAC,BKK,Cisco
3090,TSBUB,RAC_TSBUB21C,CISCO_ASR920CC,,,10.122.29.212,RAC,BKK,Cisco
3091,WWSKM,RAC_WWSKM51C,ciscoNCS540,Loopback0,10.64.3.207,10.124.210.207,RAC,BKK,Cisco
3092,NSN1M,RAC_NSN1M21C,CISCO_ASR920CC,,,10.122.26.204,RAC,BKK,Cisco
3093,SPY1M,RAC_SPY1M01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.73.59,10.124.38.218,RAC,BKK,Cisco
3094,WHRMM,RAC_WHRMM51C,ciscoNCS540,Loopback0,10.64.3.206,10.124.210.206,RAC,BKK,Cisco
3095,TKDNM,RAC_TKDNM21C,CISCO_ASR920CC,,,10.122.26.197,RAC,BKK,Cisco
3096,SMDKM,RAC_SMDKM21C,CISCO_ASR920CC,,,10.122.21.116,RAC,BKK,Cisco
3097,STHCM,RAC_STHCM51C,ciscoNCS540,Loopback0,10.64.3.96,10.124.210.96,RAC,BKK,Cisco
3098,TN9BP,RAC_TN9BP21C,CISCO_ASR920CC,,,10.122.31.153,RAC,BKK,Cisco
3099,RN66M,RAC_RN66M21C,CISCO_ASR920CC,,,10.122.47.90,RAC,BKK,Cisco
3100,SCYPM,RAC_SCYPM21C,CISCO_ASR920CC,,,10.122.66.54,RAC,BKK,Cisco
3101,BP22M,RAC_BP22M51C,ciscoNCS540,Loopback0,10.64.10.208,10.124.217.208,RAC,BKK,Cisco
3102,137RP,RAC_137RP21C,CISCO_ASR920CC,,,10.122.14.164,RAC,BKK,Cisco
3103,LLK5M,RAC_LLK5M51C,ciscoNCS540,Loopback0,10.64.4.25,10.124.211.25,RAC,BKK,Cisco
3104,ZPLLP,RAC_ZPLLP21C,CISCO_ASR920CC,,,10.122.28.181,RAC,BKK,Cisco
3105,LB52M,RAC_LB52M21C,CISCO_ASR920CC,,,10.122.24.42,RAC,BKK,Cisco
3106,BTHSP,RAC_BTHSP21C,CISCO_ASR920CC,,,10.122.30.228,RAC,BKK,Cisco
3107,SWSMM,RAC_SWSMM21C,CISCO_ASR920CC,,,10.122.66.7,RAC,BKK,Cisco
3108,WMTIM,RAC_WMTIM21C,CISCO_ASR920CC,,,10.125.200.139,RAC,BKK,Cisco
3109,NKB3M,RAC_NKB3M21C,CISCO_ASR920CC,,,10.122.27.84,RAC,BKK,Cisco
3110,NMMIM,RAC_NMMIM21C,CISCO_ASR920CC,,,10.122.17.55,RAC,BKK,Cisco
3111,MSSNM,RAC_MSSNM21C,CISCO_ASR920CC,,,10.122.13.22,RAC,BKK,Cisco
